"County","State","nbp"
"Abbeville County","SC",1
"Acadia Parish","LA",0
"Accomack County","VA",1
"Ada County","ID",0
"Adair County","KY",1
"Adair County","OK",0
"Adams County","ID",0
"Adams County","IL",1
"Adams County","IN",1
"Adams County","ND",0
"Adams County","NE",0
"Adams County","OH",1
"Adams County","PA",1
"Adams County","WA",0
"Aiken County","SC",1
"Aitkin County","MN",0
"Alachua County","FL",0
"Alamance County","NC",1
"Albany County","NY",1
"Albany County","WY",0
"Albemarle County","VA",1
"Alcona County","MI",1
"Alexander County","IL",1
"Alexander County","NC",1
"Alexandria city","VA",1
"Alfalfa County","OK",0
"Alger County","MI",1
"Allegan County","MI",1
"Allegany County","MD",1
"Allegany County","NY",1
"Alleghany County","NC",1
"Alleghany County","VA",1
"Allegheny County","PA",1
"Allen County","IN",1
"Allen County","KS",0
"Allen County","KY",1
"Allen County","OH",1
"Allen Parish","LA",0
"Allendale County","SC",1
"Alpena County","MI",1
"Amelia County","VA",1
"Amherst County","VA",1
"Anderson County","KS",0
"Anderson County","KY",1
"Anderson County","SC",1
"Anderson County","TN",1
"Anderson County","TX",0
"Andrews County","TX",0
"Angelina County","TX",0
"Anne Arundel County","MD",1
"Anoka County","MN",0
"Anson County","NC",1
"Antelope County","NE",0
"Antrim County","MI",1
"Appomattox County","VA",1
"Aransas County","TX",0
"Archer County","TX",0
"Arenac County","MI",1
"Arlington County","VA",1
"Armstrong County","PA",1
"Armstrong County","TX",0
"Arthur County","NE",0
"Ascension Parish","LA",0
"Ashe County","NC",1
"Ashland County","OH",1
"Ashtabula County","OH",1
"Asotin County","WA",0
"Assumption Parish","LA",0
"Atascosa County","TX",0
"Atchison County","KS",0
"Athens County","OH",1
"Atlantic County","NJ",1
"Atoka County","OK",0
"Auglaize County","OH",1
"Augusta County","VA",1
"Aurora County","SD",0
"Austin County","TX",0
"Avery County","NC",1
"Avoyelles Parish","LA",0
"Bailey County","TX",0
"Baker County","FL",0
"Baker County","OR",0
"Ballard County","KY",1
"Baltimore County","MD",1
"Baltimore city","MD",1
"Bamberg County","SC",1
"Bandera County","TX",0
"Banner County","NE",0
"Bannock County","ID",0
"Baraga County","MI",1
"Barber County","KS",0
"Barbour County","WV",1
"Barnes County","ND",0
"Barnstable County","MA",1
"Barnwell County","SC",1
"Barren County","KY",1
"Barry County","MI",1
"Bartholomew County","IN",1
"Barton County","KS",0
"Bastrop County","TX",0
"Bath County","KY",1
"Bath County","VA",1
"Bay County","FL",0
"Bay County","MI",1
"Baylor County","TX",0
"Beadle County","SD",0
"Bear Lake County","ID",0
"Beaufort County","NC",1
"Beaufort County","SC",1
"Beauregard Parish","LA",0
"Beaver County","OK",0
"Beaver County","PA",1
"Beaver County","UT",0
"Beaverhead County","MT",0
"Becker County","MN",0
"Beckham County","OK",0
"Bedford County","PA",1
"Bedford County","TN",1
"Bedford County","VA",1
"Bee County","TX",0
"Bell County","KY",1
"Bell County","TX",0
"Belmont County","OH",1
"Beltrami County","MN",0
"Benewah County","ID",0
"Bennett County","SD",0
"Benson County","ND",0
"Benton County","IN",1
"Benton County","MN",0
"Benton County","OR",0
"Benton County","TN",1
"Benton County","WA",0
"Benzie County","MI",1
"Bergen County","NJ",1
"Berkeley County","SC",1
"Berkeley County","WV",1
"Berks County","PA",1
"Berkshire County","MA",1
"Bernalillo County","NM",0
"Berrien County","MI",1
"Bertie County","NC",1
"Bexar County","TX",0
"Bienville Parish","LA",0
"Big Horn County","MT",0
"Big Horn County","WY",0
"Big Stone County","MN",0
"Billings County","ND",0
"Bingham County","ID",0
"Blackford County","IN",1
"Bladen County","NC",1
"Blaine County","ID",0
"Blaine County","MT",0
"Blaine County","NE",0
"Blaine County","OK",0
"Blair County","PA",1
"Blanco County","TX",0
"Bland County","VA",1
"Bledsoe County","TN",1
"Blount County","TN",1
"Blue Earth County","MN",0
"Boise County","ID",0
"Bon Homme County","SD",0
"Bond County","IL",1
"Bonner County","ID",0
"Bonneville County","ID",0
"Boone County","IL",1
"Boone County","IN",1
"Boone County","KY",1
"Boone County","NE",0
"Boone County","WV",1
"Borden County","TX",0
"Bosque County","TX",0
"Bossier Parish","LA",0
"Botetourt County","VA",1
"Bottineau County","ND",0
"Boundary County","ID",0
"Bourbon County","KS",0
"Bourbon County","KY",1
"Bowie County","TX",0
"Bowman County","ND",0
"Box Butte County","NE",0
"Box Elder County","UT",0
"Boyd County","KY",1
"Boyd County","NE",0
"Boyle County","KY",1
"Bracken County","KY",1
"Bradford County","FL",0
"Bradford County","PA",1
"Bradley County","TN",1
"Branch County","MI",1
"Braxton County","WV",1
"Brazoria County","TX",0
"Brazos County","TX",0
"Breathitt County","KY",1
"Breckinridge County","KY",1
"Brevard County","FL",0
"Brewster County","TX",0
"Briscoe County","TX",0
"Bristol County","MA",1
"Bristol County","RI",1
"Bristol city","VA",1
"Broadwater County","MT",0
"Bronx County","NY",1
"Brooke County","WV",1
"Brookings County","SD",0
"Brooks County","TX",0
"Broome County","NY",1
"Broward County","FL",0
"Brown County","IL",1
"Brown County","IN",1
"Brown County","KS",0
"Brown County","MN",0
"Brown County","NE",0
"Brown County","OH",1
"Brown County","SD",0
"Brown County","TX",0
"Brule County","SD",0
"Brunswick County","NC",1
"Brunswick County","VA",1
"Bryan County","OK",0
"Buchanan County","VA",1
"Buckingham County","VA",1
"Bucks County","PA",1
"Buena Vista city","VA",1
"Buffalo County","NE",0
"Buffalo County","SD",0
